Date,AAPL,MSFT,AMZN,GOOG,TSLA,META,NVDA,NFLX
1980-12-12,469033600,,,,,,,
1980-12-15,175884800,,,,,,,
1980-12-16,105728000,,,,,,,
1980-12-17,86441600,,,,,,,
1980-12-18,73449600,,,,,,,
1980-12-19,48630400,,,,,,,
1980-12-22,37363200,,,,,,,
1980-12-23,46950400,,,,,,,
1980-12-24,48003200,,,,,,,
1980-12-26,55574400,,,,,,,
1980-12-29,93161600,,,,,,,
1980-12-30,68880000,,,,,,,
1980-12-31,35750400,,,,,,,
1981-01-02,21660800,,,,,,,
1981-01-05,35728000,,,,,,,
1981-01-06,45158400,,,,,,,
1981-01-07,55686400,,,,,,,
1981-01-08,39827200,,,,,,,
1981-01-09,21504000,,,,,,,
1981-01-12,23699200,,,,,,,
1981-01-13,23049600,,,,,,,
1981-01-14,14291200,,,,,,,
1981-01-15,14067200,,,,,,,
1981-01-16,13395200,,,,,,,
1981-01-19,41574400,,,,,,,
1981-01-20,30083200,,,,,,,
1981-01-21,15904000,,,,,,,
1981-01-22,35548800,,,,,,,
1981-01-23,11222400,,,,,,,
1981-01-26,24640000,,,,,,,
1981-01-27,23699200,,,,,,,
1981-01-28,28156800,,,,,,,
1981-01-29,43904000,,,,,,,
1981-01-30,46188800,,,,,,,
1981-02-02,23766400,,,,,,,
1981-02-03,19152000,,,,,,,
1981-02-04,27865600,,,,,,,
1981-02-05,7929600,,,,,,,
1981-02-06,13865600,,,,,,,
1981-02-09,16755200,,,,,,,
1981-02-10,18345600,,,,,,,
1981-02-11,13843200,,,,,,,
1981-02-12,14560000,,,,,,,
1981-02-13,11155200,,,,,,,
1981-02-17,12275200,,,,,,,
1981-02-18,19241600,,,,,,,
1981-02-19,22310400,,,,,,,
1981-02-20,24371200,,,,,,,
1981-02-23,14112000,,,,,,,
1981-02-24,16979200,,,,,,,
1981-02-25,19488000,,,,,,,
1981-02-26,10841600,,,,,,,
1981-02-27,14761600,,,,,,,
1981-03-02,11760000,,,,,,,
1981-03-03,16172800,,,,,,,
1981-03-04,13708800,,,,,,,
1981-03-05,5376000,,,,,,,
1981-03-06,11603200,,,,,,,
1981-03-09,15321600,,,,,,,
1981-03-10,28380800,,,,,,,
1981-03-11,29859200,,,,,,,
1981-03-12,59248000,,,,,,,
1981-03-13,231302400,,,,,,,
1981-03-16,37228800,,,,,,,
1981-03-17,43747200,,,,,,,
1981-03-18,36937600,,,,,,,
1981-03-19,37811200,,,,,,,
1981-03-20,14604800,,,,,,,
1981-03-23,22019200,,,,,,,
1981-03-24,28156800,,,,,,,
1981-03-25,7056000,,,,,,,
1981-03-26,12275200,,,,,,,
1981-03-27,12252800,,,,,,,
1981-03-30,9900800,,,,,,,
1981-03-31,15993600,,,,,,,
1981-04-01,34070400,,,,,,,
1981-04-02,31404800,,,,,,,
1981-04-03,16486400,,,,,,,
1981-04-06,22803200,,,,,,,
1981-04-07,10684800,,,,,,,
1981-04-08,21952000,,,,,,,
1981-04-09,12499200,,,,,,,
1981-04-10,33465600,,,,,,,
1981-04-13,16060800,,,,,,,
1981-04-14,6652800,,,,,,,
1981-04-15,34048000,,,,,,,
1981-04-16,23878400,,,,,,,
1981-04-20,35347200,,,,,,,
1981-04-21,28537600,,,,,,,
1981-04-22,18995200,,,,,,,
1981-04-23,58016000,,,,,,,
1981-04-24,35056000,,,,,,,
1981-04-27,38528000,,,,,,,
1981-04-28,32188800,,,,,,,
1981-04-29,13641600,,,,,,,
1981-04-30,12611200,,,,,,,
1981-05-01,16553600,,,,,,,
1981-05-04,14448000,,,,,,,
1981-05-05,17539200,,,,,,,
1981-05-06,18950400,,,,,,,
1981-05-07,9363200,,,,,,,
1981-05-08,7907200,,,,,,,
1981-05-11,11939200,,,,,,,
1981-05-12,4256000,,,,,,,
1981-05-13,4905600,,,,,,,
1981-05-14,4928000,,,,,,,
1981-05-15,4905600,,,,,,,
1981-05-18,4166400,,,,,,,
1981-05-19,25424000,,,,,,,
1981-05-20,13283200,,,,,,,
1981-05-21,32211200,,,,,,,
1981-05-22,31427200,,,,,,,
1981-05-26,85344000,,,,,,,
1981-05-27,149497600,,,,,,,
1981-05-28,73987200,,,,,,,
1981-05-29,59382400,,,,,,,
1981-06-01,51251200,,,,,,,
1981-06-02,40432000,,,,,,,
1981-06-03,39446400,,,,,,,
1981-06-04,56067200,,,,,,,
1981-06-05,57680000,,,,,,,
1981-06-08,93497600,,,,,,,
1981-06-09,119593600,,,,,,,
1981-06-10,25222400,,,,,,,
1981-06-11,38976000,,,,,,,
